Descrição do Alimento,Preço(100g),Energia(kcal),Proteína(g),Lipídeos(g),Carboidrato(g),Fibra Alimentar(g),Cálcio(mg),Ferro(mg),Sódio(mg),VitaminaC(mg)
"Arroz, tipo 1, cozido",0.79,128.26,2.52,0.23,28.06,1.56,3.54,0.08,1.20,0.00
"Arroz, tipo 2, cozido",0.61,130.12,2.57,0.36,28.19,1.07,3.33,0.05,1.96,0.00
"Aveia, flocos, crua",2.25,393.82,13.92,8.50,66.64,9.13,47.89,4.45,4.63,1.35
"Biscoito, doce, maisena",1.31,442.82,8.07,11.97,75.23,2.10,54.45,1.76,352.03,6.22
"Biscoito, salgado, cream cracker",1.57,431.73,10.06,14.44,68.73,2.51,20.00,2.20,854.36,0.00
"Canjica, branca, crua",1.18,357.60,7.20,0.97,78.06,5.50,1.96,0.32,0.79,0.00
"Cereais, milho, flocos, com sal",0.3,369.60,7.29,1.60,80.84,5.29,1.81,0.52,271.74,0.00
"Cereais, milho, flocos, sem sal",0.3,363.34,6.88,1.18,80.45,1.84,1.97,1.69,30.97,0.00
"Cereais, mingau, milho, infantil",3.49,394.43,6.43,1.09,87.27,3.21,218.81,3.03,399.40,109.37
"Cereais, mistura para vitamina, trigo, cevada e aveia",5.33,381.13,8.90,2.12,81.62,4.98,584.25,12.64,1163.26,13.11
"Cereal matinal, milho",3.8,365.35,7.16,0.96,83.82,4.12,142.92,3.05,654.54,17.29
"Cereal matinal, milho, açúcar",2.1,376.56,4.74,0.67,88.84,2.11,56.42,3.90,405.31,14.55
"Creme de arroz, pó",3.1,386.00,7.03,1.23,83.87,1.07,7.09,0.63,1.03,0.00
"Creme de milho, pó",2.91,333.03,4.82,1.64,86.15,3.72,323.16,4.26,593.79,96.34
"Curau, milho verde",1.95,78.43,2.36,1.64,13.94,0.46,52.60,0.45,20.51,0.00
"Curau, milho verde, mistura para",7.49,402.29,2.22,13.37,79.82,2.52,30.88,0.86,222.93,0.00
"Farinha, de arroz, enriquecida",0.89,363.06,1.27,0.30,85.50,0.58,1.12,31.38,17.10,173.59
"Farinha, de centeio, integral",1.59,335.78,12.52,1.75,73.30,15.48,33.92,4.73,41.38,0.00
"Farinha, de milho, amarela",0.83,350.59,7.19,1.47,79.08,5.49,1.29,2.25,44.93,0.00
"Farinha, de rosca",1.35,370.58,11.38,1.46,75.79,4.82,35.30,6.73,332.50,0.00
"Farinha, de trigo",0.56,360.47,9.79,1.37,75.09,2.35,17.86,0.95,0.74,0.00
"Macarrão, trigo, cru",0.56,371.12,10.00,1.30,77.94,2.93,17.30,0.88,7.17,0.00
"Milho, amido, cru",2.92,361.37,0.60,0.00,87.15,0.74,1.06,0.13,8.08,0.00
"Milho, fubá, cru",0.62,353.48,7.21,1.90,78.87,4.71,2.67,0.85,0.00,0.00
"Milho, verde, cru",1.69,138.17,6.59,0.61,28.56,3.92,1.61,0.41,1.12,0.00
"Milho, verde, enlatado, drenado",2.64,97.56,3.23,2.35,17.14,4.64,2.17,0.59,260.35,1.74
"Mingau tradicional, pó",3.24,373.42,0.58,0.37,89.34,0.88,522.05,41.99,14.86,0.00
"Pamonha, barra para cozimento, pré-cozida",5.49,171.22,2.55,4.85,30.68,2.37,4.16,0.36,131.99,0.00
"Pão, aveia, forma",2.85,343.09,12.35,5.69,59.57,5.98,108.69,4.73,605.76,0.00
"Pão, de soja",2.28,308.73,11.34,3.58,56.51,5.71,90.24,3.33,662.54,0.00
